England and Wales Code,England and Wales,Distance travelled to work (8 categories) Code,Distance travelled to work (8 categories),Occupation (current) (105 categories) Code,Occupation (current) (105 categories),Observation
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,31823877
K04000001,England and Wales,-8,Does not apply,1,111 Chief executives and senior officials,0
K04000001,England and Wales,-8,Does not apply,2,112 Production managers and directors,0
K04000001,England and Wales,-8,Does not apply,3,113 Functional managers and directors,0
K04000001,England and Wales,-8,Does not apply,4,"114 Directors in logistics, warehousing and transport",0
K04000001,England and Wales,-8,Does not apply,5,115 Managers and directors in retail and wholesale,0
K04000001,England and Wales,-8,Does not apply,6,116 Senior officers in protective services,0
K04000001,England and Wales,-8,Does not apply,7,117 Health and social services managers and directors,0
K04000001,England and Wales,-8,Does not apply,8,121 Managers and proprietors in agriculture related services,0
K04000001,England and Wales,-8,Does not apply,9,122 Managers and proprietors in hospitality and leisure services,0
K04000001,England and Wales,-8,Does not apply,10,123 Managers and proprietors in health and care services,0
K04000001,England and Wales,-8,Does not apply,11,"124 Managers in logistics, warehousing and transport",0
K04000001,England and Wales,-8,Does not apply,12,125 Managers and proprietors in other services,0
K04000001,England and Wales,-8,Does not apply,13,211 Natural and social science professionals,0
K04000001,England and Wales,-8,Does not apply,14,212 Engineering professionals,0
K04000001,England and Wales,-8,Does not apply,15,213 Information technology professionals,0
K04000001,England and Wales,-8,Does not apply,16,214 Web and multimedia design professionals,0
K04000001,England and Wales,-8,Does not apply,17,215 Conservation and environment professionals,0
K04000001,England and Wales,-8,Does not apply,18,216 Research and development (R&D) and other research professionals,0
K04000001,England and Wales,-8,Does not apply,19,221 Medical practitioners,0
K04000001,England and Wales,-8,Does not apply,20,222 Therapy professionals,0
K04000001,England and Wales,-8,Does not apply,21,223 Nursing and midwifery professionals,0
K04000001,England and Wales,-8,Does not apply,22,224 Veterinarians,0
K04000001,England and Wales,-8,Does not apply,23,225 Other health professionals,0
K04000001,England and Wales,-8,Does not apply,24,231 Teaching and other educational professionals,0
K04000001,England and Wales,-8,Does not apply,25,232 Other educational professionals,0
K04000001,England and Wales,-8,Does not apply,26,241 Legal professionals,0
K04000001,England and Wales,-8,Does not apply,27,242 Finance professionals,0
K04000001,England and Wales,-8,Does not apply,28,"243 Business, research and administrative professionals",0
K04000001,England and Wales,-8,Does not apply,29,244 Business and financial project management professionals,0
K04000001,England and Wales,-8,Does not apply,30,"245 Architects, chartered architectural technologists, planning officers, surveyors and construction professionals",0
K04000001,England and Wales,-8,Does not apply,31,246 Welfare professionals,0
K04000001,England and Wales,-8,Does not apply,32,247 Librarians and related professionals,0
K04000001,England and Wales,-8,Does not apply,33,248 Quality and regulatory professionals,0
K04000001,England and Wales,-8,Does not apply,34,249 Media professionals,0
K04000001,England and Wales,-8,Does not apply,35,"311 Science, engineering and production technicians",0
K04000001,England and Wales,-8,Does not apply,36,"312 CAD, drawing and architectural technicians",0
K04000001,England and Wales,-8,Does not apply,37,313 Information technology technicians,0
K04000001,England and Wales,-8,Does not apply,38,321 Health associate professionals,0
K04000001,England and Wales,-8,Does not apply,39,322 Welfare and housing associate professionals,0
K04000001,England and Wales,-8,Does not apply,40,323 Teaching and childcare associate professionals,0
K04000001,England and Wales,-8,Does not apply,41,324 Veterinary nurses,0
