England and Wales Code,England and Wales,Distance travelled to work (8 categories) Code,Distance travelled to work (8 categories),Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,31823877
K04000001,England and Wales,-8,Does not apply,1,"1. Managers, directors and senior officials",0
K04000001,England and Wales,-8,Does not apply,2,2. Professional occupations,0
K04000001,England and Wales,-8,Does not apply,3,3. Associate professional and technical occupations,0
K04000001,England and Wales,-8,Does not apply,4,4. Administrative and secretarial occupations,0
K04000001,England and Wales,-8,Does not apply,5,5. Skilled trades occupations,0
K04000001,England and Wales,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
K04000001,England and Wales,-8,Does not apply,7,7. Sales and customer service occupations,0
K04000001,England and Wales,-8,Does not apply,8,"8. Process, plant and machine operatives",0
K04000001,England and Wales,-8,Does not apply,9,9. Elementary occupations,0
K04000001,England and Wales,1,Less than 5km,-8,Does not apply,0
K04000001,England and Wales,1,Less than 5km,1,"1. Managers, directors and senior officials",553431
K04000001,England and Wales,1,Less than 5km,2,2. Professional occupations,886330
K04000001,England and Wales,1,Less than 5km,3,3. Associate professional and technical occupations,552511
K04000001,England and Wales,1,Less than 5km,4,4. Administrative and secretarial occupations,594683
K04000001,England and Wales,1,Less than 5km,5,5. Skilled trades occupations,470776
K04000001,England and Wales,1,Less than 5km,6,"6. Caring, leisure and other service occupations",988434
K04000001,England and Wales,1,Less than 5km,7,7. Sales and customer service occupations,885381
K04000001,England and Wales,1,Less than 5km,8,"8. Process, plant and machine operatives",445666
K04000001,England and Wales,1,Less than 5km,9,9. Elementary occupations,1180034
K04000001,England and Wales,2,5km to less than 10km,-8,Does not apply,0
K04000001,England and Wales,2,5km to less than 10km,1,"1. Managers, directors and senior officials",327822
K04000001,England and Wales,2,5km to less than 10km,2,2. Professional occupations,572701
K04000001,England and Wales,2,5km to less than 10km,3,3. Associate professional and technical occupations,323963
K04000001,England and Wales,2,5km to less than 10km,4,4. Administrative and secretarial occupations,314094
K04000001,England and Wales,2,5km to less than 10km,5,5. Skilled trades occupations,269564
K04000001,England and Wales,2,5km to less than 10km,6,"6. Caring, leisure and other service occupations",408562
