transaction_unique_identifier,price,date_of_transfer,postcode,property_type,new_build_flag,tenure_type,primary_addressable_object_name,secondary_addressable_object_name,street,locality,town_city,district,county,ppd_category_type,record_status,db_id
{C18311BA-59FC-434C-BA17-E7BDFAECF160},200000,2013-05-31,CB1 2DJ,F,N,L,"SIX STEPS, 93",FLAT 1,TENISON ROAD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,4025318
{FFD27ED2-42F2-46B5-AAAD-327E99B63989},212000,2013-06-10,CB1 2DJ,F,N,L,"SIX STEPS, 93",FLAT 3,TENISON ROAD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,4093459
{D3A451E2-0DCB-4B58-A70A-069B5D4808FA},210000,2013-11-01,CB1 2DJ,F,N,L,"SIX STEPS, 93",FLAT 2,TENISON ROAD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,4623166
{E7B085FB-D962-7E31-E053-6C04A8C0E67F},280000,2022-07-28,CB1 2DJ,F,N,L,"SIX STEPS, 93",FLAT 8,TENISON ROAD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,14153180
{5789D03E-7F1B-49FA-B6E8-C345C634EBAD},199950,2010-07-30,CB1 2DJ,F,Y,L,"SIX STEPS, 93",FLAT 8,TENISON ROAD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,30021403
{0A53A6AB-2199-4FA6-8B14-AF2DE8439A4A},180000,2010-05-07,CB1 2DJ,F,Y,L,"SIX STEPS, 93",FLAT 4,TENISON ROAD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,30051941
{6689F924-77E2-408D-B98A-BEFAC9179B6C},185000,2010-03-15,CB1 2DJ,F,Y,L,"SIX STEPS, 93",FLAT 3,TENISON ROAD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,30177437
{5F0BA587-6571-4450-8EB5-8C089CA29178},175000,2010-05-28,CB1 2DJ,F,Y,L,"SIX STEPS, 93",FLAT 2,TENISON ROAD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,30279229
{A6E9733C-2077-4582-80CD-D558C9D205CA},175000,2010-06-01,CB1 2DJ,F,Y,L,"SIX STEPS, 93",FLAT 1,TENISON ROAD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,30328407
{8E2C55CF-51BB-4E15-9667-E605C86FEC60},185000,2010-07-30,CB1 2DJ,F,Y,L,"SIX STEPS, 93",FLAT 7,TENISON ROAD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,30416022
{87097E82-9CA9-4A71-AA1D-5303A9E06683},110000,2010-03-05,CB1 2DJ,F,Y,L,"SIX STEPS, 93",FLAT 6,TENISON ROAD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,30543030
{94F0B61B-6627-4EE2-8B42-289EA528D6F4},180000,2010-03-05,CB1 2DJ,F,Y,L,"SIX STEPS, 93",FLAT 5,TENISON ROAD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,30611525
{5C354435-5147-47C9-A2C8-8BDD67C75902},125000,1997-04-25,CB1 2DP,S,N,F,156,,TENISON ROAD,CAMBRIDGE,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,1551313
