Geography_Code,Geography,lat,lng,geometry,L1-L3,L4-L6,L7,L8-9,L10-L11,L12,L13,L14,L15,id,amenity_pois_count
E00166591,Swindon 023D,51.54413,-1.72716,"POLYGON ((-1.7267480252879757 51.54420088771019, -1.727144355363591 51.543560190405245, -1.7266673040420186 51.543306620134835, -1.7247165276421805 51.54346446724558, -1.7252518686570986 51.54284771522866, -1.7264635571984808 51.54315398401103, -1.7265151807284043 51.54285049093023, -1.7271192511994713 51.54282641422639, -1.7270323625924917 51.543192342963266, -1.7287292156256902 51.54348120330463, -1.729805677909394 51.54410006424404, -1.728991243737594 51.54433587605995, -1.727319454142188 51.545101357479055, -1.7267480252879757 51.54420088771019))",18,34,27,16,10,18,21,6,9,157735,0
E00061829,Stockton-on-Tees 007D,54.58761,-1.30658,"POLYGON ((-1.3049313653174053 54.58762874423756, -1.3045367276824307 54.58728230370769, -1.3055110340084823 54.58679689167597, -1.3080103007206108 54.58716486503368, -1.3083657634381447 54.58699688192265, -1.308519088209389 54.58705254044812, -1.3084545950415434 54.5876782198052, -1.3079307692656248 54.588674987583225, -1.3060673500152935 54.58815966815274, -1.3061952832599426 54.58767882918827, -1.3049313653174053 54.58762874423756))",18,51,33,12,14,26,28,19,4,58288,0
E00063115,Warrington 021C,53.38827,-2.49622,"POLYGON ((-2.4907556206933195 53.38876678802099, -2.492536674620828 53.386618618387786, -2.4945974759773843 53.385117408391764, -2.49521296494362 53.3850073152014, -2.4948474587169933 53.38460434103897, -2.4983591328070425 53.38398612799806, -2.4980055732213327 53.38466357965105, -2.498499508084691 53.38564949873996, -2.4978474316158232 53.38584918085889, -2.4976195756739843 53.38687740200091, -2.496862128285831 53.3871433061117, -2.497257057651109 53.38753362119841, -2.4969018775885607 53.388020489027305, -2.500289846198214 53.389723169975575, -2.5017532211460916 53.39104326495617, -2.492906864425154 53.39289162974539, -2.4920704497111976 53.390517795296155, -2.4907556206933195 53.38876678802099))",49,61,29,28,10,17,28,22,7,59476,0
E00148812,South Somerset 017E,50.91589,-2.74567,"POLYGON ((-2.7235556070777935 50.92420431177936, -2.7243338936667865 50.922275116120346, -2.725259874111756 50.92135213068772, -2.7272346462732826 50.92100261569999, -2.7277469589287096 50.92055612796643, -2.728867153090672 50.920665114731264, -2.7294383884850055 50.92025871784648, -2.7301951325983187 50.919268398083915, -2.7311538336363137 50.91599178324608, -2.735837119394219 50.91591015947774, -2.740715160175838 50.91636405542638, -2.742694112645395 50.91601875669075, -2.744856054865855 50.91084861152808, -2.7447953328284167 50.9104146867867, -2.7443205443771497 50.91035073924681, -2.7438255178016533 50.90723762278161, -2.7437979005741777 50.906567809911955, -2.7455624962268934 50.906352393246486, -2.746335158965318 50.906559696697364, -2.7466997703428704 50.90632622934157, -2.7469196568798386 50.907005512450326, -2.748254526883453 50.90668404869711, -2.748861699537945 50.90749040005623, -2.7497946670693727 50.907907976583424, -2.750178295932164 50.90896206245609, -2.750911902164169 50.90928295558378, -2.751346549100554 50.909083176853024, -2.7535709252952 50.909261267444954, -2.754269092285324 50.908979886370865, -2.7547126875617893 50.90931058792413, -2.7554118426445706 50.908650517854596, -2.7557227885980895 50.90888673519427, -2.756324354614463 50.90870665667811, -2.7565510408045757 50.90900825400726, -2.7583536112498868 50.9083382747652, -2.759157032140272 50.90911828923238, -2.7597171061624186 50.90925746442539, -2.7603610654372175 50.9089799067671, -2.760993690176416 50.90924125781271, -2.7565491650254765 50.912298293145994, -2.755752136382242 50.913632651798686, -2.7584924308543064 50.91518131194286, -2.758977481882665 50.91494723069121, -2.7595252479529284 50.91531037386563, -2.759651032407276 50.916640530445214, -2.75883137693924 50.91736927493744, -2.7595821702907823 50.917551822652875, -2.7611118759099877 50.917063788084064, -2.7605774012441207 50.917523417993216, -2.7632302383688483 50.92092622853745, -2.7664632339749597 50.9214091468899, -2.7678183987878913 50.92201569772786, -2.76709322115811 50.92285356889665, -2.767681755150325 50.92306192321987, -2.7666569867822592 50.923390563656305, -2.767675659694105 50.92421873414745, -2.7672408924445486 50.9246411835936, -2.7680401766920486 50.92522585442129, -2.767727832122345 50.92561182670719, -2.7672434443777942 50.92566181759649, -2.7668525118426595 50.92533074613041, -2.7639337146680094 50.926699679380924, -2.760233958254513 50.92719868342053, -2.7583323869954253 50.92680090402986, -2.7566593156244954 50.92680817317424, -2.750627919446883 50.924980417425004, -2.7442271527628033 50.925707409816496, -2.7419100800622846 50.92538860088863, -2.740259875741851 50.92649699975971, -2.739379433450614 50.926158203038234, -2.7384869996287025 50.925145028667366, -2.7367564817135834 50.924933849306136, -2.7360375181379974 50.92508764265467, -2.7357607802655273 50.92575209892813, -2.7343679483768164 50.926216816853454, -2.7326790289059906 50.92609218740234, -2.7321914053712972 50.9243465604822, -2.731631974771541 50.92414134328948, -2.731359702965118 50.92492455209125, -2.730796089487835 50.925191607395384, -2.729414127788705 50.924900765046054, -2.7282706593388455 50.92519572790302, -2.7273266273487553 50.925075647061995, -2.7271389920827844 50.924448258193145, -2.7276860900184667 50.9233792551409, -2.7265171323953266 50.92334605255442, -2.726429919483597 50.924311508887385, -2.7235556070777935 50.92420431177936))",41,63,28,41,14,27,26,7,13,140989,0
E00139445,Northumberland 042A,55.10289,-1.5802,"POLYGON ((-1.577532624783865 55.10194080451947, -1.5779718166188836 55.10175810194856, -1.5809878401371726 55.10211794746928, -1.5807827709109785 55.10135364981996, -1.5818255019883327 55.10120178975432, -1.5820760361332542 55.1002869558581, -1.58314993227594 55.10048718713477, -1.5828556216429204 55.101077357072434, -1.5823855005731613 55.10099226228543, -1.5822394042735546 55.10126256192474, -1.5827838694520246 55.10133997251402, -1.5829436132018397 55.1019905994602, -1.5803017853978873 55.102525451859904, -1.5805622365794856 55.10362837460277, -1.5776006544030763 55.10379811005411, -1.5772464593475262 55.102577492151944, -1.5778668137253102 55.10236074973609, -1.577532624783865 55.10194080451947))",49,64,45,14,26,20,12,7,19,132093,0
E00081129,Medway 016C,51.37639,0.547014,"POLYGON ((0.548200892529541 51.37550274209045, 0.5464951260700492 51.37543623958687, 0.5458955508883462 51.377466586148095, 0.5467714360761339 51.37747125029338, 0.5474609833347306 51.377096185747774, 0.5480053280163065 51.3772191675853, 0.548200892529541 51.37550274209045))",14,58,34,25,12,23,40,32,22,76626,0
E00122092,Canterbury 016C,51.26733,1.090547,"POLYGON ((1.091959610038457 51.268960410779115, 1.0939160064462075 51.267775355885476, 1.0909950664012633 51.26521579893889, 1.0884779822337616 51.26590660290603, 1.088547928209469 51.266506849389486, 1.0871599065198978 51.267491183627236, 1.0885282924587394 51.26841415357902, 1.0891251287158639 51.26957497576835, 1.0879103947369233 51.27099784506015, 1.0881182186884077 51.271287383528325, 1.0883428640581476 51.27165149292901, 1.0896462823625923 51.27089594692276, 1.090417914818306 51.271346983193176, 1.0913513352256274 51.27112735219225, 1.0904331691347156 51.27037433006152, 1.090182476833795 51.26942329179376, 1.0913926538382261 51.268598222033724, 1.091959610038457 51.268960410779115))",84,123,39,35,12,39,27,25,24,115665,1
E00163397,Wiltshire 050C,51.12468,-2.30843,"POLYGON ((-2.2636930777897364 51.11981570956153, -2.265935333629461 51.11763989557164, -2.2728528189728654 51.118608576978446, -2.27808627810506 51.11762059717075, -2.280621734813477 51.11658507667806, -2.2815793262222646 51.11576800933603, -2.281322152709911 51.11480830156056, -2.2768798337414067 51.11350157390607, -2.2793391025816754 51.11096895257028, -2.2811427883186024 51.112324112618026, -2.2823432444768845 51.114022645955075, -2.2848852676712754 51.11460282186502, -2.2870990673755784 51.11473312928026, -2.290320471316877 51.113791682587824, -2.2906566681117697 51.114086695277315, -2.291145823771548 51.11377444112775, -2.302352681982379 51.11611625488478, -2.315036003235376 51.117958431759874, -2.320573875009983 51.11858180755205, -2.325387946540293 51.117897754462554, -2.3398664447771926 51.1200217984547, -2.3455816156740332 51.12020918382722, -2.3562585309323825 51.11683655989785, -2.359268997770982 51.11654676285157, -2.3628851699590587 51.11578106430259, -2.3655915505093605 51.114995826545574, -2.3649369358742067 51.11782383645478, -2.3639562326055037 51.11936869698165, -2.3585759169596785 51.12073076221175, -2.3575119053045905 51.12078770496644, -2.3573299704299013 51.12035566109875, -2.356788213308374 51.12033638283616, -2.3525408636060994 51.122816755457514, -2.3508119387040916 51.12322870628092, -2.3502155631141144 51.122897230524, -2.349311666068467 51.12299758091996, -2.34746212317655 51.12370265177256, -2.346470612359974 51.12373411852446, -2.344541543236813 51.12468399028778, -2.3431889438548583 51.1274467122635, -2.344034197211403 51.12869595048877, -2.346307250468622 51.13051641301921, -2.345861298805241 51.133374562000206, -2.3413992983945278 51.13533982261511, -2.3321773589409327 51.137989048717195, -2.3243664664514387 51.13746732925198, -2.321063639200122 51.136276010396635, -2.3196453743792724 51.135360073811576, -2.3144565876579404 51.13676423293116, -2.3134349808926347 51.13681558847193, -2.3131783085523763 51.136456630421414, -2.3075342110054433 51.13775378755682, -2.2902426112871193 51.13782401016831, -2.286213374691349 51.138551612710785, -2.283167153740443 51.136383956828006, -2.282929662443565 51.13567318005182, -2.2806723047313886 51.13390269388448, -2.279509926470488 51.13193537512706, -2.2799152567215204 51.131611536077735, -2.2771966407921007 51.12987271289456, -2.273383781636894 51.12626141186496, -2.2739322895466265 51.1259067660407, -2.2677387162764027 51.121901669652196, -2.2686255717280854 51.12138174467976, -2.268076112504823 51.12071661338773, -2.2662438584672633 51.12059224360337, -2.2636930777897364 51.11981570956153))",36,57,26,62,7,25,16,12,12,154827,0
E00182126,Newham 038B,51.54781,-0.00892,"POLYGON ((-0.0081771606165095 51.54781170491752, -0.0096540840930286 51.547262542689445, -0.0099110335939526 51.54740386742386, -0.0098330387840429 51.54765720977452, -0.0092088557895432 51.54811907955369, -0.008154023939408 51.54827874558974, -0.0081771606165095 51.54781170491752))",156,82,13,18,7,7,7,10,30,170140,0
E00108505,Braintree 012A,51.84761,0.616546,"POLYGON ((0.6168105822712259 51.84573001005032, 0.613527002594375 51.847680050618436, 0.6158584499578933 51.849163825677955, 0.6170668748505334 51.84945308322557, 0.6180434037663666 51.8484939065308, 0.6194580638956588 51.84778466934754, 0.6195661152171141 51.84704527346197, 0.6201832050334589 51.84715912658248, 0.6203991451996618 51.846675698534, 0.6168105822712259 51.84573001005032))",11,43,27,19,16,34,18,10,5,102748,0
