,transaction_unique_identifier,price,date_of_transfer,postcode,property_type,new_build_flag,tenure_type,primary_addressable_object_name,secondary_addressable_object_name,street,locality,town_city,district,county,ppd_category_type,record_status,db_id,housenumber,addr:city,addr:interpolation,addr:street,source,geometry,amenity,indoor,operator,operator:wikidata,postal_code,ref,addr:full,building,leisure,name,sport,wheelchair,access,building:levels,roof:levels,brand,brand:wikidata,toilets:wheelchair,note,opening_hours,website,addr:housename,historic,addr:country,bunker_type,military,source:name,source:addr:postcode,covered,tourism,locked,nodes,ref:university_of_cambridge,charge,fee,length,lit,location,swimming_pool,network,noaddress,wikidata,wikimedia_commons,occupier,alt_ref,source:ref,old_name,twitter,brand:wikipedia,fhrs:authority,fhrs:id,fhrs:local_authority_id,stars,comedy,note:phone,phone,wikipedia,denomination,ref:dove,religion,roof:shape,contact:website,official_name,shop,check_date,description,source:occupier,landuse,railway,railway:ref,railway:signal_box,roof:orientation,alt_name,floor:material,food,internet_access,outdoor_seating,real_ale,website:menu,wheelchair:description,air_conditioning,payment:cash,old_old_name,start_date,source:operator,ref:edubase,url,email,house,beer_garden,internet_access:fee,old_fhrs:id,source:addr:housenumber,source:wifi,building:levels:underground,social_facility,social_facility:for,office,source:addr,healthcare,disused:shop,disused:amenity,takeaway,cuisine,source:fhrs:id,male,reg_charity_no,service_times:url,unisex,cyclestreets_id,abandoned,check_date:opening_hours,opening_hours:signed,origin,abandoned:shop,check_date:currency:XBT,contact:facebook,currency:XBT,payment:lightning,payment:lightning_contactless,payment:onchain,service:bicycle:pump,diet:halal,dispensing,beauty,tailor:alteration_service,diet:vegan,diet:vegetarian,organic,charity,service:bicycle:repair,service:bicycle:retail,bicycle_parking,capacity,operator:type,amenity_1,ref_1,max_age,min_age,school:boarding,school:type,contact:instagram,music,note:real_ale,ref:GB:uprn,school:trust,nohousenumber,indoor_seating,accommodation,description:floor,smoking,power,substation,builder,overall_site,gas_insulated,layer,HE_ref,listed_status,building:flats,fixme,roof:direction,ways,type,latitude,longitude,osm_house_range
0,{090C64B8-729C-40C6-8856-CB7C791BDAD6},385000,2011-01-07,cb1 1je,F,Y,L,35,FLAT 6,PARKSIDE,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,2372536,35,Cambridge,,Parkside,"survey,Bing","POLYGON ((0.128964 52.2035924, 0.129049 52.203558, 0.1290615 52.2035695, 0.1291157 52.2035476, 0.1291276 52.2035586, 0.1292086 52.2036336, 0.129214 52.2036386, 0.129164 52.2036589, 0.129172 52.2036663, 0.1290924 52.2036986, 0.1290677 52.2036756, 0.1290265 52.2036923, 0.1289451 52.2036168, 0.1289765 52.2036041, 0.128964 52.2035924))",,,,,,,,apartments,,,,,,2,1,,,,,,,,,,,,,,,,,"[1819584030, 1819584005, 11069703463, 11069703464, 11069703467, 11069703470, 11069703466, 11069703465, 1819584062, 1819583994, 1819584025, 1819584045, 1819584047, 1819584023, 1819584030]",,,,,,,,,,Q26419107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.203624257093765,0.1290782076117197,35
1,{9891E147-6F4F-4A46-B5CE-C8B5F9CD685B},335000,2011-10-18,cb1 1je,F,Y,L,35,FLAT 12,PARKSIDE,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,2457288,35,Cambridge,,Parkside,"survey,Bing","POLYGON ((0.128964 52.2035924, 0.129049 52.203558, 0.1290615 52.2035695, 0.1291157 52.2035476, 0.1291276 52.2035586, 0.1292086 52.2036336, 0.129214 52.2036386, 0.129164 52.2036589, 0.129172 52.2036663, 0.1290924 52.2036986, 0.1290677 52.2036756, 0.1290265 52.2036923, 0.1289451 52.2036168, 0.1289765 52.2036041, 0.128964 52.2035924))",,,,,,,,apartments,,,,,,2,1,,,,,,,,,,,,,,,,,"[1819584030, 1819584005, 11069703463, 11069703464, 11069703467, 11069703470, 11069703466, 11069703465, 1819584062, 1819583994, 1819584025, 1819584045, 1819584047, 1819584023, 1819584030]",,,,,,,,,,Q26419107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.203624257093765,0.1290782076117197,35
2,{EA928F2A-FF16-4DB6-9D4C-0FF158ECFFF3},250000,2011-01-10,cb1 1je,F,Y,L,35,FLAT 4,PARKSIDE,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,2718215,35,Cambridge,,Parkside,"survey,Bing","POLYGON ((0.128964 52.2035924, 0.129049 52.203558, 0.1290615 52.2035695, 0.1291157 52.2035476, 0.1291276 52.2035586, 0.1292086 52.2036336, 0.129214 52.2036386, 0.129164 52.2036589, 0.129172 52.2036663, 0.1290924 52.2036986, 0.1290677 52.2036756, 0.1290265 52.2036923, 0.1289451 52.2036168, 0.1289765 52.2036041, 0.128964 52.2035924))",,,,,,,,apartments,,,,,,2,1,,,,,,,,,,,,,,,,,"[1819584030, 1819584005, 11069703463, 11069703464, 11069703467, 11069703470, 11069703466, 11069703465, 1819584062, 1819583994, 1819584025, 1819584045, 1819584047, 1819584023, 1819584030]",,,,,,,,,,Q26419107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.203624257093765,0.1290782076117197,35
3,{78FF43BF-39CB-4BFA-82DA-1EE0C390FFD2},335000,2014-07-11,cb1 1je,F,N,L,35,FLAT 4,PARKSIDE,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,4871438,35,Cambridge,,Parkside,"survey,Bing","POLYGON ((0.128964 52.2035924, 0.129049 52.203558, 0.1290615 52.2035695, 0.1291157 52.2035476, 0.1291276 52.2035586, 0.1292086 52.2036336, 0.129214 52.2036386, 0.129164 52.2036589, 0.129172 52.2036663, 0.1290924 52.2036986, 0.1290677 52.2036756, 0.1290265 52.2036923, 0.1289451 52.2036168, 0.1289765 52.2036041, 0.128964 52.2035924))",,,,,,,,apartments,,,,,,2,1,,,,,,,,,,,,,,,,,"[1819584030, 1819584005, 11069703463, 11069703464, 11069703467, 11069703470, 11069703466, 11069703465, 1819584062, 1819583994, 1819584025, 1819584045, 1819584047, 1819584023, 1819584030]",,,,,,,,,,Q26419107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.203624257093765,0.1290782076117197,35
4,{21E5FEB5-AD6D-2439-E050-A8C06205342E},460000,2014-01-03,cb1 1je,F,N,L,35,FLAT 6,PARKSIDE,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,B,A,5356563,35,Cambridge,,Parkside,"survey,Bing","POLYGON ((0.128964 52.2035924, 0.129049 52.203558, 0.1290615 52.2035695, 0.1291157 52.2035476, 0.1291276 52.2035586, 0.1292086 52.2036336, 0.129214 52.2036386, 0.129164 52.2036589, 0.129172 52.2036663, 0.1290924 52.2036986, 0.1290677 52.2036756, 0.1290265 52.2036923, 0.1289451 52.2036168, 0.1289765 52.2036041, 0.128964 52.2035924))",,,,,,,,apartments,,,,,,2,1,,,,,,,,,,,,,,,,,"[1819584030, 1819584005, 11069703463, 11069703464, 11069703467, 11069703470, 11069703466, 11069703465, 1819584062, 1819583994, 1819584025, 1819584045, 1819584047, 1819584023, 1819584030]",,,,,,,,,,Q26419107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.203624257093765,0.1290782076117197,35
5,{DE1F8B8E-32B0-4967-BC03-B7AB3A7CC58B},465000,2015-02-12,cb1 1je,F,N,L,35,FLAT 8,PARKSIDE,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,6201715,35,Cambridge,,Parkside,"survey,Bing","POLYGON ((0.128964 52.2035924, 0.129049 52.203558, 0.1290615 52.2035695, 0.1291157 52.2035476, 0.1291276 52.2035586, 0.1292086 52.2036336, 0.129214 52.2036386, 0.129164 52.2036589, 0.129172 52.2036663, 0.1290924 52.2036986, 0.1290677 52.2036756, 0.1290265 52.2036923, 0.1289451 52.2036168, 0.1289765 52.2036041, 0.128964 52.2035924))",,,,,,,,apartments,,,,,,2,1,,,,,,,,,,,,,,,,,"[1819584030, 1819584005, 11069703463, 11069703464, 11069703467, 11069703470, 11069703466, 11069703465, 1819584062, 1819583994, 1819584025, 1819584045, 1819584047, 1819584023, 1819584030]",,,,,,,,,,Q26419107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.203624257093765,0.1290782076117197,35
6,{4C4EDFFF-0927-1854-E050-A8C063054F34},515000,2017-02-22,cb1 1je,F,N,L,35,FLAT 8,PARKSIDE,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,7982092,35,Cambridge,,Parkside,"survey,Bing","POLYGON ((0.128964 52.2035924, 0.129049 52.203558, 0.1290615 52.2035695, 0.1291157 52.2035476, 0.1291276 52.2035586, 0.1292086 52.2036336, 0.129214 52.2036386, 0.129164 52.2036589, 0.129172 52.2036663, 0.1290924 52.2036986, 0.1290677 52.2036756, 0.1290265 52.2036923, 0.1289451 52.2036168, 0.1289765 52.2036041, 0.128964 52.2035924))",,,,,,,,apartments,,,,,,2,1,,,,,,,,,,,,,,,,,"[1819584030, 1819584005, 11069703463, 11069703464, 11069703467, 11069703470, 11069703466, 11069703465, 1819584062, 1819583994, 1819584025, 1819584045, 1819584047, 1819584023, 1819584030]",,,,,,,,,,Q26419107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.203624257093765,0.1290782076117197,35
7,{1D2985C7-9D5E-4D38-A623-B3814531B202},1390000,2007-11-02,cb1 1je,S,N,F,27,,PARKSIDE,CAMBRIDGE,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,28578701,27,Cambridge,,Parkside,"survey,Bing","POLYGON ((0.1282177 52.2039429, 0.128174 52.2038999, 0.1282196 52.2038824, 0.1282039 52.203867, 0.1282384 52.2038538, 0.1282542 52.2038693, 0.1283167 52.2038454, 0.1283639 52.2038918, 0.1283223 52.2039077, 0.1283431 52.2039282, 0.1282807 52.2039521, 0.1282563 52.2039281, 0.1282177 52.2039429))",,,,,,,,house,,,,,,2,1,,,,,,,,,,,,,,,,,"[1824530100, 1824529957, 1824529867, 1824529910, 1824529939, 1824529959, 1824529946, 1824529988, 1824529894, 1824530030, 1824530095, 1824530098, 1824530100]",,,,,,,,,,Q26419105,,,,,,,,,,,,,,,,,,,gambrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.203898664289405,0.12827186571868585,27
8,{BD4CE813-937D-47AC-B62C-2BB8E0A6AC04},113000,1997-11-05,cb1 2ad,T,N,F,36A,,MILL ROAD,CAMBRIDGE,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,1641238,36,Cambridge,,Mill Road,,"POLYGON ((0.1344793 52.2010413, 0.1344106 52.2009614, 0.1343937 52.2009392, 0.1343059 52.2009632, 0.1344038 52.2010716, 0.1344793 52.2010413))",,,,,,,,commercial,,Penguin,,,,2,,,,,,Mo-Fr 09:00-17:30; Sa 09:00-17:00; Su off,,,,,,,,,,,,"[307426781, 1483538108, 1483538121, 1483538177, 307426870, 307426781]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dry_cleaning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.20100361239506,0.134394396053866,36
9,{21E5FEB7-A2BD-2439-E050-A8C06205342E},100000,2014-02-05,cb1 2ad,T,N,L,36A,,MILL ROAD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,B,A,4810729,36,Cambridge,,Mill Road,,"POLYGON ((0.1344793 52.2010413, 0.1344106 52.2009614, 0.1343937 52.2009392, 0.1343059 52.2009632, 0.1344038 52.2010716, 0.1344793 52.2010413))",,,,,,,,commercial,,Penguin,,,,2,,,,,,Mo-Fr 09:00-17:30; Sa 09:00-17:00; Su off,,,,,,,,,,,,"[307426781, 1483538108, 1483538121, 1483538177, 307426870, 307426781]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dry_cleaning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.20100361239506,0.134394396053866,36
